block_num,builder_id,total_gas_fee,total_mev,included_txs
578,builder_13,65300006,322000,
579,builder_13,68168010,1347480,
580,builder_11,4200002,31700,
581,builder_13,13604000,177700,
582,builder_13,26520005,0,
583,builder_13,37199996,10700,
584,builder_13,162147000,227900,
585,builder_11,283340009,4926530,
586,builder_13,433240006,5074300,
587,builder_13,55846999,571000,
588,builder_13,253038003,998600,
589,builder_11,27249002,4325630,
590,builder_13,391940002,5598140,
591,builder_13,164000,0,
592,builder_13,422380999,1260130,
593,builder_13,127699002,39400,
594,builder_11,150753020,17892220,
595,builder_13,112716011,17872520,
596,builder_11,10648000,63000,
597,builder_13,329232994,340600,
598,builder_13,65300006,322000,
599,builder_13,68168010,1347480,
600,builder_11,4200002,31700,
601,builder_13,13604000,177700,
602,builder_13,26520005,0,
603,builder_13,37199996,10700,
604,builder_13,162147000,227900,
605,builder_11,283340009,4926530,
606,builder_13,433240006,5074300,
607,builder_13,55846999,571000,
608,builder_13,253038003,998600,
609,builder_11,27249002,4325630,
610,builder_13,391940002,5598140,
611,builder_13,164000,0,
612,builder_13,422380999,1260130,
613,builder_13,127699002,39400,
614,builder_11,150753020,17892220,
615,builder_13,112716011,17872520,
616,builder_11,10648000,63000,
617,builder_13,329232994,340600,
618,builder_13,65300006,322000,
619,builder_13,68168010,1347480,
620,builder_11,4200002,31700,
621,builder_13,13604000,177700,
622,builder_13,26520005,0,
623,builder_13,37199996,10700,
624,builder_13,162147000,227900,
625,builder_11,283340009,4926530,
626,builder_13,433240006,5074300,
627,builder_13,55846999,571000,
628,builder_13,253038003,998600,
629,builder_11,27249002,4325630,
630,builder_13,391940002,5598140,
631,builder_13,164000,0,
632,builder_13,422380999,1260130,
633,builder_13,127699002,39400,
634,builder_11,150753020,17892220,
635,builder_13,112716011,17872520,
636,builder_11,10648000,63000,
637,builder_13,329232994,340600,
638,builder_13,65300006,322000,
639,builder_13,68168010,1347480,
640,builder_11,4200002,31700,
641,builder_13,13604000,177700,
642,builder_13,26520005,0,
643,builder_13,37199996,10700,
644,builder_13,162147000,227900,
645,builder_11,283340009,4926530,
646,builder_13,433240006,5074300,
647,builder_13,55846999,571000,
648,builder_13,253038003,998600,
649,builder_11,27249002,4325630,
650,builder_13,391940002,5598140,
651,builder_13,164000,0,
652,builder_13,422380999,1260130,
653,builder_13,127699002,39400,
654,builder_11,150753020,17892220,
655,builder_13,112716011,17872520,
656,builder_11,10648000,63000,
657,builder_13,329232994,340600,
658,builder_13,65300006,322000,
659,builder_13,68168010,1347480,
660,builder_11,4200002,31700,
661,builder_13,13604000,177700,
662,builder_13,26520005,0,
663,builder_13,37199996,10700,
664,builder_13,162147000,227900,
665,builder_11,283340009,4926530,
666,builder_13,433240006,5074300,
667,builder_13,55846999,571000,
668,builder_13,253038003,998600,
669,builder_11,27249002,4325630,
670,builder_13,391940002,5598140,
671,builder_13,164000,0,
672,builder_13,422380999,1260130,
673,builder_13,127699002,39400,
674,builder_11,150753020,17892220,
675,builder_13,112716011,17872520,
676,builder_11,10648000,63000,
677,builder_13,329232994,340600,
678,builder_13,65300006,322000,
679,builder_13,68168010,1347480,
680,builder_11,4200002,31700,
681,builder_13,13604000,177700,
682,builder_13,26520005,0,
683,builder_13,37199996,10700,
684,builder_13,162147000,227900,
685,builder_11,283340009,4926530,
686,builder_13,433240006,5074300,
687,builder_13,55846999,571000,
688,builder_13,253038003,998600,
689,builder_11,27249002,4325630,
690,builder_13,391940002,5598140,
691,builder_13,164000,0,
692,builder_13,422380999,1260130,
693,builder_13,127699002,39400,
694,builder_11,150753020,17892220,
695,builder_13,112716011,17872520,
696,builder_11,10648000,63000,
697,builder_13,329232994,340600,
698,builder_13,65300006,322000,
699,builder_13,68168010,1347480,
700,builder_11,4200002,31700,
701,builder_13,13604000,177700,
702,builder_13,26520005,0,
703,builder_13,37199996,10700,
704,builder_13,162147000,227900,
705,builder_11,283340009,4926530,
706,builder_13,433240006,5074300,
707,builder_13,55846999,571000,
708,builder_13,253038003,998600,
709,builder_11,27249002,4325630,
710,builder_13,391940002,5598140,
711,builder_13,164000,0,
712,builder_13,422380999,1260130,
713,builder_13,127699002,39400,
714,builder_11,150753020,17892220,
715,builder_13,112716011,17872520,
716,builder_11,10648000,63000,
717,builder_13,329232994,340600,
718,builder_13,65300006,322000,
719,builder_13,68168010,1347480,
720,builder_11,4200002,31700,
721,builder_13,13604000,177700,
722,builder_13,26520005,0,
723,builder_13,37199996,10700,
724,builder_13,162147000,227900,
725,builder_11,283340009,4926530,
726,builder_13,433240006,5074300,
727,builder_13,55846999,571000,
728,builder_13,253038003,998600,
729,builder_11,27249002,4325630,
730,builder_13,391940002,5598140,
731,builder_13,164000,0,
732,builder_13,422380999,1260130,
733,builder_13,127699002,39400,
734,builder_11,150753020,17892220,
