transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,builder_type
50741,0,0,0,157,50541,unknown,14,4,attack
50743,0,0,0,153,50541,unknown,14,4,attack
50744,0,0,0,153,50541,unknown,14,4,attack
50746,0,0,0,151,50541,unknown,14,4,attack
50747,0,0,0,151,50541,unknown,14,4,attack
50749,0,0,0,158,50541,unknown,14,4,attack
50750,0,0,0,158,50541,unknown,14,4,attack
50752,0,0,0,154,50541,unknown,15,4,attack
50753,0,0,0,154,50541,unknown,15,4,attack
50755,0,0,0,157,50541,unknown,15,4,attack
50756,0,0,0,157,50541,unknown,15,4,attack
50758,0,0,0,154,50541,unknown,15,4,attack
50759,0,0,0,154,50541,unknown,15,4,attack
50761,0,0,0,152,50541,unknown,15,4,attack
50762,0,0,0,152,50541,unknown,15,4,attack
50764,0,0,0,159,50541,unknown,15,4,attack
50765,0,0,0,159,50541,unknown,15,4,attack
50767,0,0,0,158,50541,unknown,16,4,attack
50768,0,0,0,158,50541,unknown,16,4,attack
50770,0,0,0,152,50541,unknown,16,4,attack
50771,0,0,0,152,50541,unknown,16,4,attack
50773,0,0,0,160,50541,unknown,16,4,attack
50774,0,0,0,160,50541,unknown,16,4,attack
50776,0,0,0,154,50541,unknown,16,4,attack
50777,0,0,0,154,50541,unknown,16,4,attack
50779,0,0,0,157,50541,unknown,16,5,attack
50780,0,0,0,157,50541,unknown,16,5,attack
50782,0,0,0,154,50541,unknown,17,5,attack
50783,0,0,0,154,50541,unknown,17,5,attack
50785,0,0,0,160,50541,unknown,17,5,attack
50786,0,0,0,160,50541,unknown,17,5,attack
50788,0,0,0,154,50541,unknown,17,5,attack
50789,0,0,0,154,50541,unknown,17,5,attack
50791,0,0,0,154,50541,unknown,17,5,attack
50792,0,0,0,154,50541,unknown,17,5,attack
50794,0,0,0,153,50541,unknown,17,5,attack
50795,0,0,0,153,50541,unknown,17,5,attack
50797,0,0,0,158,50541,unknown,18,5,attack
50798,0,0,0,158,50541,unknown,18,5,attack
50800,0,0,0,153,50541,unknown,18,5,attack
50801,0,0,0,153,50541,unknown,18,5,attack
50803,0,0,0,160,50541,unknown,18,5,attack
50804,0,0,0,160,50541,unknown,18,5,attack
50806,0,0,0,152,50541,unknown,18,5,attack
50807,0,0,0,152,50541,unknown,18,5,attack
50809,0,0,0,158,50541,unknown,18,5,attack
50810,0,0,0,158,50541,unknown,18,5,attack
50812,0,0,0,157,50541,unknown,19,5,attack
50813,0,0,0,157,50541,unknown,19,5,attack
50815,0,0,0,160,50541,unknown,19,5,attack
50816,0,0,0,160,50541,unknown,19,5,attack
50818,0,0,0,153,50541,unknown,19,5,attack
50819,0,0,0,153,50541,unknown,19,5,attack
50821,0,0,0,152,50541,unknown,19,5,attack
50822,0,0,0,152,50541,unknown,19,5,attack
50824,0,0,0,159,50541,unknown,19,5,attack
50825,0,0,0,159,50541,unknown,19,5,attack
50827,0,0,0,155,50541,unknown,20,5,attack
50828,0,0,0,155,50541,unknown,20,5,attack
50830,0,0,0,151,50541,unknown,20,5,attack
50831,0,0,0,151,50541,unknown,20,5,attack
50833,0,0,0,159,50541,unknown,20,5,attack
50834,0,0,0,159,50541,unknown,20,5,attack
50836,0,0,0,154,50541,unknown,20,5,attack
50837,0,0,0,154,50541,unknown,20,5,attack
50839,0,0,0,159,50541,unknown,20,5,attack
50840,0,0,0,159,50541,unknown,20,5,attack
