transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,validator_type
37625,0,0.0,0,120,36079.0,unknown,25,23,normal
37626,0,0.0,0,120,36079.0,unknown,25,23,normal
37628,0,0.0,0,111,36079.0,unknown,25,23,normal
37629,0,0.0,0,111,36079.0,unknown,25,23,normal
37631,0,0.0,0,117,36079.0,unknown,25,23,normal
37632,0,0.0,0,117,36079.0,unknown,25,23,normal
37634,0,0.0,0,112,36079.0,unknown,25,23,normal
37635,0,0.0,0,112,36079.0,unknown,25,23,normal
37637,0,0.0,0,116,36079.0,unknown,26,23,attack
37638,0,0.0,0,116,36079.0,unknown,26,23,attack
37640,0,0.0,0,120,36079.0,unknown,26,23,attack
37641,0,0.0,0,120,36079.0,unknown,26,23,attack
37643,0,0.0,0,111,36079.0,unknown,26,23,attack
37644,0,0.0,0,111,36079.0,unknown,26,23,attack
37646,0,0.0,0,120,36079.0,unknown,26,23,attack
37647,0,0.0,0,120,36079.0,unknown,26,23,attack
37649,0,0.0,0,111,36079.0,unknown,26,23,attack
37650,0,0.0,0,111,36079.0,unknown,26,23,attack
37652,0,0.0,0,114,36079.0,unknown,27,23,normal
37653,0,0.0,0,114,36079.0,unknown,27,23,normal
37655,0,0.0,0,118,36079.0,unknown,27,23,normal
37656,0,0.0,0,118,36079.0,unknown,27,23,normal
37658,0,0.0,0,118,36079.0,unknown,27,23,normal
37659,0,0.0,0,118,36079.0,unknown,27,23,normal
37661,0,0.0,0,111,36079.0,unknown,27,23,normal
37662,0,0.0,0,111,36079.0,unknown,27,23,normal
37664,0,0.0,0,114,36079.0,unknown,27,23,normal
37665,0,0.0,0,114,36079.0,unknown,27,23,normal
37667,0,0.0,0,114,36079.0,unknown,28,23,attack
37668,0,0.0,0,114,36079.0,unknown,28,23,attack
37670,0,0.0,0,118,36079.0,unknown,28,23,attack
37671,0,0.0,0,118,36079.0,unknown,28,23,attack
37673,0,0.0,0,112,36079.0,unknown,28,23,attack
37674,0,0.0,0,112,36079.0,unknown,28,23,attack
37676,0,0.0,0,113,36079.0,unknown,28,24,attack
37677,0,0.0,0,113,36079.0,unknown,28,24,attack
37679,0,0.0,0,115,36079.0,unknown,28,24,attack
37680,0,0.0,0,115,36079.0,unknown,28,24,attack
37682,0,0.0,0,120,36079.0,unknown,29,24,attack
37683,0,0.0,0,120,36079.0,unknown,29,24,attack
37685,0,0.0,0,115,36079.0,unknown,29,24,attack
37686,0,0.0,0,115,36079.0,unknown,29,24,attack
37688,0,0.0,0,112,36079.0,unknown,29,24,attack
37689,0,0.0,0,112,36079.0,unknown,29,24,attack
37691,0,0.0,0,118,36079.0,unknown,29,24,attack
37692,0,0.0,0,118,36079.0,unknown,29,24,attack
37694,0,0.0,0,119,36079.0,unknown,29,24,attack
37695,0,0.0,0,119,36079.0,unknown,29,24,attack
37697,0,0.0,0,112,36079.0,unknown,30,24,attack
37698,0,0.0,0,112,36079.0,unknown,30,24,attack
37700,0,0.0,0,113,36079.0,unknown,30,24,attack
37701,0,0.0,0,113,36079.0,unknown,30,24,attack
37703,0,0.0,0,114,36079.0,unknown,30,24,attack
37704,0,0.0,0,114,36079.0,unknown,30,24,attack
