block_num,round_num,builder_id,strategy,bid,block_value
0,8,builder_6,random,140831659.40478578,295645670
0,8,builder_7,random,149637405.688903,349701970
0,8,builder_8,random,163344885.5448534,323873440
0,8,builder_9,random,148318866.62630644,275726470
0,8,builder_10,reactive,268766430,268766430
0,8,builder_11,reactive,329772960.0,333587830
0,8,builder_12,reactive,329772960.0,337259070
0,8,builder_13,reactive,319065970,319065970
0,8,builder_14,reactive,329772960.0,332061970
0,8,builder_15,reactive,230157770,230157770
0,8,builder_16,reactive,217031040,217031040
0,8,builder_17,reactive,304639230,304639230
0,8,builder_18,reactive,321680570,321680570
0,8,builder_19,reactive,280148700.0,260503800
0,9,builder_0,late_enter,114315665.0,228631330
0,9,builder_1,late_enter,115854195.0,231708390
0,9,builder_2,late_enter,145715195.0,291430390
0,9,builder_3,late_enter,142064295.0,284128590
0,9,builder_4,late_enter,137413595.0,274827190
0,9,builder_5,random,101278006.69548836,253063420
