block_num,builder_id,total_gas_fee,total_mev_available,total_mev_captured_by_attackers,total_mev_captured_by_builders
410,builder_5,166915000,1652640,0,0
411,builder_4,73439004,731200,0,0
412,builder_5,211131999,1062500,0,0
413,builder_5,25190003,948760,0,0
414,builder_5,30181004,251100,0,0
415,builder_18,97199995,423590,0,0
416,builder_15,60492999,683400,0,0
417,builder_0,70909998,376200,0,0
418,builder_3,130398004,1320040,0,0
419,builder_7,86711998,515900,0,0
420,builder_5,104502998,7908600,0,0
421,builder_15,29489995,7525900,0,0
422,builder_4,111851995,1880320,0,0
423,builder_1,61609000,298700,0,0
424,builder_11,78910993,133100,0,0
425,builder_0,122994001,859300,0,0
426,builder_5,84582002,441800,0,0
427,builder_5,36028998,1225100,0,0
428,builder_11,36789005,2310400,0,0
429,builder_5,22935995,5910200,0,0
430,builder_11,108655992,842730,0,0
431,builder_5,53518001,1554240,0,0
432,builder_15,86345990,99000,0,0
433,builder_10,162574000,1438290,0,0
434,builder_4,72055994,1580300,0,0
435,builder_5,1098350002,164400,0,0
436,builder_16,55202003,5053100,0,0
437,builder_15,53718000,59100,0,0
438,builder_5,238621996,1183800,0,0
439,builder_4,65870000,102200,0,0
440,builder_5,115839993,17734200,0,0
441,builder_0,70203996,7804100,0,0
442,builder_5,27141000,8087600,0,0
443,builder_4,51304004,513130,0,0
444,builder_5,112528994,850900,0,0
445,builder_5,148993001,7888800,0,0
446,builder_5,166915000,1652640,0,0
447,builder_4,73439004,731200,0,0
448,builder_5,211131999,1062500,0,0
449,builder_5,25190003,948760,0,0
450,builder_5,30181004,251100,0,0
451,builder_18,97199995,423590,0,0
452,builder_15,60492999,683400,0,0
453,builder_0,70909998,376200,0,0
454,builder_3,130398004,1320040,0,0
455,builder_7,86711998,515900,0,0
456,builder_5,104502998,7908600,0,0
457,builder_15,29489995,7525900,0,0
458,builder_4,111851995,1880320,0,0
459,builder_1,61609000,298700,0,0
460,builder_11,78910993,133100,0,0
461,builder_0,122994001,859300,0,0
462,builder_5,84582002,441800,0,0
463,builder_5,36028998,1225100,0,0
464,builder_11,36789005,2310400,0,0
465,builder_5,22935995,5910200,0,0
466,builder_11,108655992,842730,0,0
467,builder_5,53518001,1554240,0,0
468,builder_15,86345990,99000,0,0
469,builder_10,162574000,1438290,0,0
470,builder_4,72055994,1580300,0,0
471,builder_5,1098350002,164400,0,0
472,builder_16,55202003,5053100,0,0
473,builder_15,53718000,59100,0,0
474,builder_5,238621996,1183800,0,0
475,builder_4,65870000,102200,0,0
476,builder_5,115839993,17734200,0,0
477,builder_0,70203996,7804100,0,0
478,builder_5,27141000,8087600,0,0
479,builder_4,51304004,513130,0,0
480,builder_5,112528994,850900,0,0
481,builder_5,148993001,7888800,0,0
482,builder_5,166915000,1652640,0,0
483,builder_4,73439004,731200,0,0
484,builder_5,211131999,1062500,0,0
485,builder_5,25190003,948760,0,0
486,builder_5,30181004,251100,0,0
487,builder_18,97199995,423590,0,0
488,builder_15,60492999,683400,0,0
489,builder_0,70909998,376200,0,0
490,builder_3,130398004,1320040,0,0
491,builder_7,86711998,515900,0,0
492,builder_5,104502998,7908600,0,0
493,builder_15,29489995,7525900,0,0
494,builder_4,111851995,1880320,0,0
495,builder_1,61609000,298700,0,0
496,builder_11,78910993,133100,0,0
497,builder_0,122994001,859300,0,0
498,builder_5,84582002,441800,0,0
499,builder_5,36028998,1225100,0,0
500,builder_11,36789005,2310400,0,0
501,builder_5,22935995,5910200,0,0
502,builder_11,108655992,842730,0,0
503,builder_5,53518001,1554240,0,0
504,builder_12,34195004,133300,0,0
505,builder_4,34884007,518040,0,0
506,builder_3,48099997,1672000,0,0
507,builder_4,72505006,825000,0,0
508,builder_1,128250005,7284800,0,0
509,builder_5,55307998,2056000,0,0
510,builder_1,1405417997,773340,0,0
511,builder_4,134720001,864500,0,0
512,builder_15,41866002,8316800,0,0
513,builder_1,227307000,2275300,0,0
514,builder_6,122547003,187500,0,0
515,builder_4,41720997,7687860,0,0
516,builder_0,86018995,202230,0,0
