block_num,builder_id,proposer_id,builder_stake,proposer_stake,total_gas_fee,total_mev_available,bid_value,builder_reinvestment_factor,proposer_reinvestment_factor
296,builder_3,proposer_12,32000000000.0,32000000000.0,54240002,283000,54525832.0,True,True
297,builder_19,proposer_18,64000000000.0,32000000000.0,30119999,42000,30162839.0,True,False
298,builder_3,proposer_16,32000000000.0,32000000000.0,39520001,36800,39557169.0,True,False
299,builder_11,proposer_3,256000000000.0,160000000000.0,49419999,0,49419999.0,True,True
300,builder_0,proposer_15,64000000000.0,320000000000.0,32080000,0,32080000.0,False,False
301,builder_9,proposer_7,64000000000.0,32000000000.0,22819999,0,22819999.0,False,False
302,builder_16,proposer_18,32000000000.0,32000000000.0,6719999,75000,6795749.0,True,False
303,builder_12,proposer_19,256000000000.0,320000000000.0,43360000,0,43360000.0,True,False
304,builder_4,proposer_2,32000000000.0,160000000000.0,10310003,6390,10316456.9,True,True
305,builder_0,proposer_7,64000000000.0,32000000000.0,10389998,0,10389998.0,False,False
306,builder_8,proposer_9,96000000000.0,160000000000.0,38629999,13900,38644316.0,False,False
307,builder_2,proposer_11,256000000000.0,64000000000.0,45860000,0,45860000.0,True,True
308,builder_18,proposer_13,64000000000.0,32000000000.0,32200001,0,32200001.0,True,True
309,builder_8,proposer_5,96000000000.0,32000000000.0,466001,17700000,18697001.0,False,False
310,builder_13,proposer_0,32000000000.0,160000000000.0,32300000,0,32300000.0,True,True
311,builder_15,proposer_19,32000000000.0,320000000000.0,31099999,0,31099999.0,True,False
312,builder_18,proposer_3,64000000000.0,160000000000.0,35000000,0,35000000.0,True,True
313,builder_16,proposer_12,32000000000.0,32000000000.0,48199999,0,48199999.0,True,True
314,builder_8,proposer_4,96000000000.0,64000000000.0,60149998,33100,60184091.0,False,False
