period,block_number,num_transactions,inversion_count,inversion_rate,max_possible_inversions
LUNA_CRASH_MAY_2022,14800861,79,31,0.010061668289516391,3081
LUNA_CRASH_MAY_2022,14800862,37,79,0.11861861861861862,666
LUNA_CRASH_MAY_2022,14800863,356,3333,0.05274568760879886,63190
LUNA_CRASH_MAY_2022,14800864,235,1803,0.06557555919258047,27495
LUNA_CRASH_MAY_2022,14800865,31,48,0.1032258064516129,465
LUNA_CRASH_MAY_2022,14800866,293,1384,0.03235307868530553,42778
LUNA_CRASH_MAY_2022,14800867,248,436,0.014235340211571112,30628
LUNA_CRASH_MAY_2022,14800868,22,0,0.0,231
LUNA_CRASH_MAY_2022,14800869,200,1025,0.05150753768844221,19900
LUNA_CRASH_MAY_2022,14800870,53,0,0.0,1378
LUNA_CRASH_MAY_2022,14800871,23,0,0.0,253
LUNA_CRASH_MAY_2022,14800872,74,56,0.02073306182895224,2701
LUNA_CRASH_MAY_2022,14800873,288,1753,0.04241676345334882,41328
LUNA_CRASH_MAY_2022,14800874,58,38,0.022988505747126436,1653
LUNA_CRASH_MAY_2022,14800875,114,530,0.08228535941623971,6441
LUNA_CRASH_MAY_2022,14800876,0,0,0.0,0
LUNA_CRASH_MAY_2022,14800877,332,1178,0.02143923124522258,54946
LUNA_CRASH_MAY_2022,14800878,238,3945,0.13987873630464845,28203
LUNA_CRASH_MAY_2022,14800879,306,1564,0.03351548269581057,46665
LUNA_CRASH_MAY_2022,14800880,276,541,0.014255599472990777,37950
LUNA_CRASH_MAY_2022,14800881,146,229,0.0216343882853094,10585
LUNA_CRASH_MAY_2022,14800882,10,0,0.0,45
LUNA_CRASH_MAY_2022,14800883,89,132,0.033707865168539325,3916
LUNA_CRASH_MAY_2022,14800884,69,66,0.028132992327365727,2346
LUNA_CRASH_MAY_2022,14800885,56,117,0.07597402597402597,1540
LUNA_CRASH_MAY_2022,14800886,133,110,0.012531328320802004,8778
LUNA_CRASH_MAY_2022,14800887,134,445,0.04993827853215128,8911
LUNA_CRASH_MAY_2022,14800888,10,0,0.0,45
LUNA_CRASH_MAY_2022,14800889,65,723,0.34759615384615383,2080
LUNA_CRASH_MAY_2022,14800890,228,2911,0.1124893732127676,25878
LUNA_CRASH_MAY_2022,14800891,312,144,0.002968093000247341,48516
LUNA_CRASH_MAY_2022,14800892,148,4350,0.3998896856039713,10878
LUNA_CRASH_MAY_2022,14800893,97,0,0.0,4656
LUNA_CRASH_MAY_2022,14800894,57,0,0.0,1596
LUNA_CRASH_MAY_2022,14800895,423,2541,0.02846963127289839,89253
LUNA_CRASH_MAY_2022,14800896,264,3379,0.09733264200944809,34716
LUNA_CRASH_MAY_2022,14800897,33,0,0.0,528
LUNA_CRASH_MAY_2022,14800898,273,635,0.017102995044171516,37128
LUNA_CRASH_MAY_2022,14800899,296,3673,0.08412734768666973,43660
LUNA_CRASH_MAY_2022,14800900,175,1106,0.07264367816091954,15225
LUNA_CRASH_MAY_2022,14800901,118,267,0.03867883528900478,6903
LUNA_CRASH_MAY_2022,14800902,96,266,0.058333333333333334,4560
LUNA_CRASH_MAY_2022,14800903,293,3730,0.08719435223713123,42778
LUNA_CRASH_MAY_2022,14800904,349,0,0.0,60726
LUNA_CRASH_MAY_2022,14800905,12,5,0.07575757575757576,66
LUNA_CRASH_MAY_2022,14800906,94,172,0.03935026309768932,4371
LUNA_CRASH_MAY_2022,14800907,100,353,0.07131313131313131,4950
LUNA_CRASH_MAY_2022,14800908,249,933,0.030217644772638944,30876
LUNA_CRASH_MAY_2022,14800909,282,837,0.02112516089952298,39621
LUNA_CRASH_MAY_2022,14800910,22,0,0.0,231
LUNA_CRASH_MAY_2022,14800911,183,1568,0.09415720891130727,16653
LUNA_CRASH_MAY_2022,14800912,13,0,0.0,78
LUNA_CRASH_MAY_2022,14800913,178,2021,0.12829302355106964,15753
LUNA_CRASH_MAY_2022,14800914,165,1091,0.08063562453806357,13530
LUNA_CRASH_MAY_2022,14800915,64,0,0.0,2016
LUNA_CRASH_MAY_2022,14800916,179,73,0.004582261000564936,15931
LUNA_CRASH_MAY_2022,14800917,281,1927,0.048983223182511436,39340
LUNA_CRASH_MAY_2022,14800918,104,213,0.03976848394324122,5356
LUNA_CRASH_MAY_2022,14800919,181,280,0.017188459177409455,16290
LUNA_CRASH_MAY_2022,14800920,372,697,0.010100570964843637,69006
LUNA_CRASH_MAY_2022,14800921,252,889,0.028109783089862773,31626
LUNA_CRASH_MAY_2022,14800922,67,0,0.0,2211
LUNA_CRASH_MAY_2022,14800923,22,0,0.0,231
LUNA_CRASH_MAY_2022,14800924,47,0,0.0,1081
LUNA_CRASH_MAY_2022,14800925,109,384,0.0652395514780836,5886
LUNA_CRASH_MAY_2022,14800926,61,196,0.10710382513661203,1830
LUNA_CRASH_MAY_2022,14800927,143,613,0.06037624347483502,10153
LUNA_CRASH_MAY_2022,14800928,15,0,0.0,105
LUNA_CRASH_MAY_2022,14800929,166,1799,0.13136181087988316,13695
LUNA_CRASH_MAY_2022,14800930,74,0,0.0,2701
LUNA_CRASH_MAY_2022,14800931,196,3806,0.19916274201988488,19110
LUNA_CRASH_MAY_2022,14800932,68,282,0.1237928007023705,2278
LUNA_CRASH_MAY_2022,14800933,155,1718,0.14394637620444073,11935
LUNA_CRASH_MAY_2022,14800934,21,0,0.0,210
LUNA_CRASH_MAY_2022,14800935,332,3219,0.058584792341571726,54946
LUNA_CRASH_MAY_2022,14800936,272,1950,0.05290861732146733,36856
LUNA_CRASH_MAY_2022,14800937,0,0,0.0,0
LUNA_CRASH_MAY_2022,14800938,192,1038,0.05660994764397906,18336
LUNA_CRASH_MAY_2022,14800939,307,3551,0.07559983819803709,46971
LUNA_CRASH_MAY_2022,14800940,32,0,0.0,496
LUNA_CRASH_MAY_2022,14800941,398,30302,0.383555054871334,79003
LUNA_CRASH_MAY_2022,14800942,67,177,0.08005427408412483,2211
LUNA_CRASH_MAY_2022,14800943,143,2194,0.21609376538954003,10153
LUNA_CRASH_MAY_2022,14800944,243,376,0.012787810767608748,29403
LUNA_CRASH_MAY_2022,14800945,112,0,0.0,6216
LUNA_CRASH_MAY_2022,14800946,38,69,0.09815078236130868,703
LUNA_CRASH_MAY_2022,14800947,19,0,0.0,171
LUNA_CRASH_MAY_2022,14800948,121,440,0.06060606060606061,7260
LUNA_CRASH_MAY_2022,14800949,75,63,0.022702702702702703,2775
LUNA_CRASH_MAY_2022,14800950,337,1060,0.018722622580189346,56616
LUNA_CRASH_MAY_2022,14800951,307,665,0.014157671754912605,46971
LUNA_CRASH_MAY_2022,14800952,81,1,0.00030864197530864197,3240
