period,gas_fee_gwei
STABLE_PRE_MERGE_2022,1694249.0
STABLE_PRE_MERGE_2022,1654607.0
STABLE_PRE_MERGE_2022,1478746.0
STABLE_PRE_MERGE_2022,1338164.0
STABLE_PRE_MERGE_2022,1310094.0
STABLE_PRE_MERGE_2022,1296224.0
STABLE_PRE_MERGE_2022,1260000.0
STABLE_PRE_MERGE_2022,1093775.0
STABLE_PRE_MERGE_2022,1059600.0
STABLE_PRE_MERGE_2022,1045494.0
STABLE_PRE_MERGE_2022,1045494.0
STABLE_PRE_MERGE_2022,1045494.0
STABLE_PRE_MERGE_2022,939715.0
STABLE_PRE_MERGE_2022,939715.0
STABLE_PRE_MERGE_2022,858585.0
STABLE_PRE_MERGE_2022,825851.0
STABLE_PRE_MERGE_2022,813851.0
STABLE_PRE_MERGE_2022,813335.0
STABLE_PRE_MERGE_2022,761773.0
STABLE_PRE_MERGE_2022,748973.0
STABLE_PRE_MERGE_2022,672000.0
STABLE_PRE_MERGE_2022,496191.0
STABLE_PRE_MERGE_2022,492331.0
STABLE_PRE_MERGE_2022,441000.0
STABLE_PRE_MERGE_2022,431734.0
STABLE_PRE_MERGE_2022,425632.0
STABLE_PRE_MERGE_2022,414489.0
STABLE_PRE_MERGE_2022,23951717.0
STABLE_PRE_MERGE_2022,16138755.0
STABLE_PRE_MERGE_2022,12049506.0
STABLE_PRE_MERGE_2022,9996096.0
STABLE_PRE_MERGE_2022,9801179.0
STABLE_PRE_MERGE_2022,9185927.0
STABLE_PRE_MERGE_2022,7201952.0
STABLE_PRE_MERGE_2022,5032649.0
STABLE_PRE_MERGE_2022,4545943.0
STABLE_PRE_MERGE_2022,4526856.0
STABLE_PRE_MERGE_2022,4502803.0
STABLE_PRE_MERGE_2022,4182953.0
STABLE_PRE_MERGE_2022,3563971.0
STABLE_PRE_MERGE_2022,3513309.0
STABLE_PRE_MERGE_2022,3168455.0
STABLE_PRE_MERGE_2022,2582710.0
STABLE_PRE_MERGE_2022,2425032.0
STABLE_PRE_MERGE_2022,1896514.0
STABLE_PRE_MERGE_2022,1750430.0
STABLE_PRE_MERGE_2022,1655639.0
STABLE_PRE_MERGE_2022,1620000.0
STABLE_PRE_MERGE_2022,1515833.0
STABLE_PRE_MERGE_2022,1434496.0
STABLE_PRE_MERGE_2022,1321040.0
STABLE_PRE_MERGE_2022,1278758.0
STABLE_PRE_MERGE_2022,1197000.0
STABLE_PRE_MERGE_2022,1177443.0
STABLE_PRE_MERGE_2022,1134000.0
STABLE_PRE_MERGE_2022,1045494.0
STABLE_PRE_MERGE_2022,1045494.0
STABLE_PRE_MERGE_2022,1045494.0
STABLE_PRE_MERGE_2022,1000000.0
STABLE_PRE_MERGE_2022,939715.0
STABLE_PRE_MERGE_2022,936383.0
STABLE_PRE_MERGE_2022,910314.0
STABLE_PRE_MERGE_2022,875533.0
STABLE_PRE_MERGE_2022,825851.0
STABLE_PRE_MERGE_2022,753382.0
STABLE_PRE_MERGE_2022,753382.0
STABLE_PRE_MERGE_2022,719999.0
STABLE_PRE_MERGE_2022,711197.0
STABLE_PRE_MERGE_2022,630268.0
STABLE_PRE_MERGE_2022,625169.0
STABLE_PRE_MERGE_2022,515539.0
STABLE_PRE_MERGE_2022,514218.0
STABLE_PRE_MERGE_2022,459106.0
STABLE_PRE_MERGE_2022,414180.0
STABLE_PRE_MERGE_2022,414180.0
STABLE_PRE_MERGE_2022,408767.0
STABLE_PRE_MERGE_2022,401006.0
STABLE_PRE_MERGE_2022,392340.0
STABLE_PRE_MERGE_2022,332589.0
STABLE_PRE_MERGE_2022,21750000.0
STABLE_PRE_MERGE_2022,18060000.0
STABLE_PRE_MERGE_2022,16380000.0
STABLE_PRE_MERGE_2022,11488856.0
STABLE_PRE_MERGE_2022,10134108.0
STABLE_PRE_MERGE_2022,9024244.0
STABLE_PRE_MERGE_2022,7478560.0
STABLE_PRE_MERGE_2022,6893313.0
STABLE_PRE_MERGE_2022,5744428.0
STABLE_PRE_MERGE_2022,5263103.0
STABLE_PRE_MERGE_2022,5121149.0
STABLE_PRE_MERGE_2022,4949101.0
STABLE_PRE_MERGE_2022,4755568.0
STABLE_PRE_MERGE_2022,4551989.0
STABLE_PRE_MERGE_2022,4433372.0
STABLE_PRE_MERGE_2022,4321474.0
STABLE_PRE_MERGE_2022,4301679.0
STABLE_PRE_MERGE_2022,3649875.0
STABLE_PRE_MERGE_2022,3467014.0
STABLE_PRE_MERGE_2022,3303037.0
STABLE_PRE_MERGE_2022,3227143.0
STABLE_PRE_MERGE_2022,3136488.0
STABLE_PRE_MERGE_2022,2539791.0
STABLE_PRE_MERGE_2022,2141472.0
STABLE_PRE_MERGE_2022,1902160.0
STABLE_PRE_MERGE_2022,1825119.0
STABLE_PRE_MERGE_2022,1797700.0
STABLE_PRE_MERGE_2022,1786234.0
STABLE_PRE_MERGE_2022,1195574.0
STABLE_PRE_MERGE_2022,1171227.0
STABLE_PRE_MERGE_2022,1094437.0
STABLE_PRE_MERGE_2022,1045494.0
STABLE_PRE_MERGE_2022,1045494.0
STABLE_PRE_MERGE_2022,935450.0
STABLE_PRE_MERGE_2022,858585.0
STABLE_PRE_MERGE_2022,813335.0
STABLE_PRE_MERGE_2022,771834.0
STABLE_PRE_MERGE_2022,753382.0
STABLE_PRE_MERGE_2022,751290.0
STABLE_PRE_MERGE_2022,599201.0
STABLE_PRE_MERGE_2022,545413.0
STABLE_PRE_MERGE_2022,492331.0
STABLE_PRE_MERGE_2022,441000.0
STABLE_PRE_MERGE_2022,420467.0
STABLE_PRE_MERGE_2022,414489.0
STABLE_PRE_MERGE_2022,396430.0
STABLE_PRE_MERGE_2022,376392.0
STABLE_PRE_MERGE_2022,357826.0
STABLE_PRE_MERGE_2022,344742.0
STABLE_PRE_MERGE_2022,328786.0
STABLE_PRE_MERGE_2022,21563152.0
STABLE_PRE_MERGE_2022,20674198.0
STABLE_PRE_MERGE_2022,11568470.0
STABLE_PRE_MERGE_2022,8827470.0
STABLE_PRE_MERGE_2022,8394627.0
STABLE_PRE_MERGE_2022,6713106.0
STABLE_PRE_MERGE_2022,6469228.0
STABLE_PRE_MERGE_2022,5431291.0
STABLE_PRE_MERGE_2022,5339925.0
STABLE_PRE_MERGE_2022,5210601.0
STABLE_PRE_MERGE_2022,4727936.0
STABLE_PRE_MERGE_2022,4572953.0
STABLE_PRE_MERGE_2022,4568196.0
STABLE_PRE_MERGE_2022,4341181.0
STABLE_PRE_MERGE_2022,4133316.0
STABLE_PRE_MERGE_2022,3649875.0
STABLE_PRE_MERGE_2022,3491891.0
STABLE_PRE_MERGE_2022,3300733.0
STABLE_PRE_MERGE_2022,3175913.0
STABLE_PRE_MERGE_2022,3136488.0
STABLE_PRE_MERGE_2022,2977677.0
STABLE_PRE_MERGE_2022,2782152.0
STABLE_PRE_MERGE_2022,2535775.0
STABLE_PRE_MERGE_2022,2014584.0
STABLE_PRE_MERGE_2022,1796235.0
STABLE_PRE_MERGE_2022,1730255.0
STABLE_PRE_MERGE_2022,1725052.0
STABLE_PRE_MERGE_2022,1654607.0
STABLE_PRE_MERGE_2022,1654322.0
STABLE_PRE_MERGE_2022,1486605.0
STABLE_PRE_MERGE_2022,1486605.0
STABLE_PRE_MERGE_2022,1441225.0
STABLE_PRE_MERGE_2022,1280827.0
STABLE_PRE_MERGE_2022,1045494.0
STABLE_PRE_MERGE_2022,999019.0
STABLE_PRE_MERGE_2022,894231.0
STABLE_PRE_MERGE_2022,833249.0
