period,block_number,gas_fee_gwei
STABLE_PRE_MERGE_2022,15000000,10010528.0
STABLE_PRE_MERGE_2022,15000000,336000.0
STABLE_PRE_MERGE_2022,15000000,800000.0
STABLE_PRE_MERGE_2022,15000000,1120000.0
STABLE_PRE_MERGE_2022,15000000,1120000.0
STABLE_PRE_MERGE_2022,15000000,2210818.46640624
STABLE_PRE_MERGE_2022,15000000,1113651.21581
STABLE_PRE_MERGE_2022,15000000,1113651.21581
STABLE_PRE_MERGE_2022,15000000,14214082.885676848
STABLE_PRE_MERGE_2022,15000000,2962230.81277756
STABLE_PRE_MERGE_2022,15000000,440498.288541432
STABLE_PRE_MERGE_2022,15000000,1002859.67652222
STABLE_PRE_MERGE_2022,15000000,807202.58997198
STABLE_PRE_MERGE_2022,15000000,328996.017924
STABLE_PRE_MERGE_2022,15000000,14090829.3405
STABLE_PRE_MERGE_2022,15000000,1669121.361183796
STABLE_PRE_MERGE_2022,15000000,3935145.909670092
STABLE_PRE_MERGE_2022,15000000,7828238.522
STABLE_PRE_MERGE_2022,15000000,3321474.635453468
STABLE_PRE_MERGE_2022,15000000,535764.64444568
STABLE_PRE_MERGE_2022,15000000,3914119.261
STABLE_PRE_MERGE_2022,15000000,3436753.27592844
STABLE_PRE_MERGE_2022,15000000,1709702.949681844
STABLE_PRE_MERGE_2022,15000000,1202949.757198696
STABLE_PRE_MERGE_2022,15000000,2002118.971432632
STABLE_PRE_MERGE_2022,15000000,873224.350652056
STABLE_PRE_MERGE_2022,15000000,3832736.893325288
STABLE_PRE_MERGE_2022,15000000,1669121.361183796
STABLE_PRE_MERGE_2022,15000000,6232874.824170488
STABLE_PRE_MERGE_2022,15000000,328786.017924
STABLE_PRE_MERGE_2022,15000000,2822408.773198924
STABLE_PRE_MERGE_2022,15000000,1441225.681331332
STABLE_PRE_MERGE_2022,15000000,1065407.606367156
STABLE_PRE_MERGE_2022,15000000,328786.017924
STABLE_PRE_MERGE_2022,15000000,849489.131453352
STABLE_PRE_MERGE_2022,15000000,3044433.274159888
STABLE_PRE_MERGE_2022,15000000,494462.858003608
STABLE_PRE_MERGE_2022,15000000,328786.017924
STABLE_PRE_MERGE_2022,15000000,3321286.75772894
STABLE_PRE_MERGE_2022,15000000,2466192.607493836
STABLE_PRE_MERGE_2022,15000000,1283157.889095108
STABLE_PRE_MERGE_2022,15000000,724581.75759632
STABLE_PRE_MERGE_2022,15000000,4941763.444737028
STABLE_PRE_MERGE_2022,15000000,5359807.038288872
STABLE_PRE_MERGE_2022,15000000,1155228.815168584
STABLE_PRE_MERGE_2022,15000000,328786.017924
STABLE_PRE_MERGE_2022,15000000,2712876.0597991
STABLE_PRE_MERGE_2022,15000000,968400.074602532
STABLE_PRE_MERGE_2022,15000000,3235301.385803292
STABLE_PRE_MERGE_2022,15000000,2001555.338259048
STABLE_PRE_MERGE_2022,15000000,328786.017924
STABLE_PRE_MERGE_2022,15000000,916154.410706704
STABLE_PRE_MERGE_2022,15000000,2244716.083229412
STABLE_PRE_MERGE_2022,15000000,328786.017924
STABLE_PRE_MERGE_2022,15000000,4497229.092026736
STABLE_PRE_MERGE_2022,15000000,328786.017924
STABLE_PRE_MERGE_2022,15000000,4324021.486488964
STABLE_PRE_MERGE_2022,15000000,728495.87685732
STABLE_PRE_MERGE_2022,15000000,328786.017924
STABLE_PRE_MERGE_2022,15000000,1962852.52700628
STABLE_PRE_MERGE_2022,15000000,765554.758020468
STABLE_PRE_MERGE_2022,15000000,1258123.182301752
STABLE_PRE_MERGE_2022,15000000,328786.017924
STABLE_PRE_MERGE_2022,15000000,1277819.030423104
STABLE_PRE_MERGE_2022,15000000,872441.526799856
STABLE_PRE_MERGE_2022,15000000,5034778.574855432
STABLE_PRE_MERGE_2022,15000000,724378.223394748
STABLE_PRE_MERGE_2022,15000000,7828238.522
STABLE_PRE_MERGE_2022,15000000,1947540.492457248
STABLE_PRE_MERGE_2022,15000000,9337428.970179336
STABLE_PRE_MERGE_2022,15000000,4517175.443780792
STABLE_PRE_MERGE_2022,15000000,2628534.617963072
STABLE_PRE_MERGE_2022,15000000,724378.223394748
STABLE_PRE_MERGE_2022,15000000,454977.22289864
STABLE_PRE_MERGE_2022,15000000,328786.017924
STABLE_PRE_MERGE_2022,15000001,1257776860.35
STABLE_PRE_MERGE_2022,15000001,1882639.061304894
STABLE_PRE_MERGE_2022,15000001,973275.01215
STABLE_PRE_MERGE_2022,15000001,849839.14510209
STABLE_PRE_MERGE_2022,15000001,1118009.62595322
STABLE_PRE_MERGE_2022,15000001,946261.855442475
STABLE_PRE_MERGE_2022,15000001,1615619.35564029
STABLE_PRE_MERGE_2022,15000001,376464.802245
STABLE_PRE_MERGE_2022,15000001,4747673.38212325
STABLE_PRE_MERGE_2022,15000001,3712954.85101916
STABLE_PRE_MERGE_2022,15000001,1079593.04135396
STABLE_PRE_MERGE_2022,15000001,1216244.66080302
STABLE_PRE_MERGE_2022,15000001,1732133.997293
STABLE_PRE_MERGE_2022,15000001,3317350.270932305
STABLE_PRE_MERGE_2022,15000001,12085991.104954924
