period,block_number,mean_gas_fee_gwei,median_gas_fee_gwei,total_gas_fees_gwei,num_transactions
STABLE_POST_MERGE_2022,16000876,1896586.626208955,990000.0,218107462.01402983,115
STABLE_POST_MERGE_2022,16000877,4264588.77500938,797086.911699702,592777839.7263038,139
STABLE_POST_MERGE_2022,16000878,2433864.8750270605,1711673.998691286,226349433.37751663,93
STABLE_POST_MERGE_2022,16000879,2409237.8890877822,1880875.3281999999,91551039.78533572,38
STABLE_POST_MERGE_2022,16000880,3190370.989153425,1099302.5106,606170487.9391508,190
STABLE_POST_MERGE_2022,16000881,1873167.0020520878,1253108.839178112,192936201.21136504,103
STABLE_POST_MERGE_2022,16000882,2942362.0581314387,1475970.794219856,479605015.4754245,163
STABLE_POST_MERGE_2022,16000883,1874264.026161779,1299366.355326688,245528587.42719305,131
STABLE_POST_MERGE_2022,16000884,2711591.963100576,2253731.531399942,306409891.83036506,113
STABLE_POST_MERGE_2022,16000885,2700897.4084292725,1544968.131074324,378125637.1800982,140
STABLE_POST_MERGE_2022,16000886,2470806.650945711,2065072.4573375755,350854544.43429095,142
STABLE_POST_MERGE_2022,16000887,1987411.6039989365,1261158.538179368,256376096.9158628,129
STABLE_POST_MERGE_2022,16000888,1451522.833045797,764188.025206825,190149491.1289994,131
STABLE_POST_MERGE_2022,16000889,3454720.688299669,1177601.357597244,542391148.063048,157
STABLE_POST_MERGE_2022,16000890,2918000.086556918,908323.328276804,504814014.9743468,173
STABLE_POST_MERGE_2022,16000891,2988703.364980023,693000.0,514056978.77656394,172
STABLE_POST_MERGE_2022,16000892,1435387.0171909083,693000.0,265546598.18031806,185
STABLE_POST_MERGE_2022,16000893,2281191.914925297,672000.0,625046584.6895313,274
STABLE_POST_MERGE_2022,16000894,2525495.3483780315,1219420.66806,224769086.0056448,89
STABLE_POST_MERGE_2022,16000895,1222926.4889435526,672000.0,328967225.52581567,269
STABLE_POST_MERGE_2022,16000896,2717506.3931475836,893734.652900409,255445600.95587286,94
STABLE_POST_MERGE_2022,16000897,1475795.8091632458,770000.0,72313994.64899905,49
STABLE_POST_MERGE_2022,16000898,3501281.676195095,774956.190185339,595217884.9531661,170
STABLE_POST_MERGE_2022,16000899,4102046.0971788242,1142659.31445,438918932.3981342,107
STABLE_POST_MERGE_2022,16000900,2878138.9992128373,1516500.0,339620401.9071148,118
STABLE_POST_MERGE_2022,16000901,2608122.5368248913,1318826.973905,307758459.34533715,118
STABLE_POST_MERGE_2022,16000902,3813804.5163469836,690357.7380173639,373752842.6020044,98
STABLE_POST_MERGE_2022,16000903,2600325.9120646263,1678309.51737631,377047257.2493708,145
STABLE_POST_MERGE_2022,16000904,2157775.351200251,1170732.78486,235197513.28082734,109
