block_num,validator_id,validator_stake,total_gas_fee,total_mev_available,block_reward,validator_reinvestment_factor,validator_validator_count
296,validator_18,32000000000,1640000,0,1640000,True,1
297,validator_7,480000000000,1304000,732000,2036000,True,15
298,validator_14,480000000000,2055000,0,2055000,True,15
299,validator_17,32000000000,319000,0,319000,False,1
300,validator_16,32000000000,160000,18600,178600,True,1
301,validator_10,320000000000,42526000,7421000,49947000,True,10
302,validator_10,320000000000,24708000,410000,25118000,True,10
303,validator_15,160000000000,6600000,0,6600000,True,5
304,validator_7,480000000000,7640000,330700,7970700,True,15
305,validator_16,32000000000,1550000,0,1550000,True,1
306,validator_16,32000000000,4174000,0,4174000,True,1
307,validator_3,160000000000,81500000,2274600,83774600,True,5
308,validator_2,160000000000,5200000,0,5200000,True,5
309,validator_4,64000000000,5093000,964630,6057630,False,2
310,validator_11,320000000000,320000,0,320000,True,10
311,validator_2,160000000000,16179000,114400,16293400,True,5
312,validator_12,480000000000,5280000,0,5280000,True,15
313,validator_4,64000000000,137311000,1293240,138604240,False,2
314,validator_0,160000000000,3560000,0,3560000,True,5
315,validator_5,32000000000,50002000,22940,50024940,False,1
316,validator_5,32000000000,9500000,0,9500000,False,1
317,validator_13,32000000000,7500000,0,7500000,False,1
318,validator_13,32000000000,3810000,0,3810000,False,1
319,validator_15,160000000000,9951000,18600,9969600,True,5
320,validator_7,480000000000,2635000,38600,2673600,True,15
321,validator_13,32000000000,64634000,7391700,72025700,False,1
322,validator_12,480000000000,53380000,3130,53383130,True,15
323,validator_19,32000000000,420000,0,420000,False,1
324,validator_6,160000000000,6300000,0,6300000,True,5
325,validator_7,480000000000,5558000,128000,5686000,True,15
326,validator_7,480000000000,2407000,0,2407000,True,15
327,validator_10,320000000000,2300000,0,2300000,True,10
328,validator_14,480000000000,14538000,106700,14644700,True,15
329,validator_7,480000000000,10610000,410000,11020000,True,15
330,validator_8,320000000000,1960000,68100,2028100,False,10
331,validator_16,32000000000,9670000,67500,9737500,True,1
332,validator_19,32000000000,1930000,21800,1951800,False,1
333,validator_6,160000000000,8100000,0,8100000,True,5
334,validator_6,160000000000,33693000,7840,33700840,True,5
335,validator_1,64000000000,31270000,103900,31373900,True,2
336,validator_18,32000000000,33540000,0,33540000,True,1
337,validator_11,320000000000,25290000,22040,25312040,True,10
338,validator_3,160000000000,1500000,0,1500000,True,5
339,validator_17,32000000000,8716000,393800,9109800,False,1
340,validator_0,160000000000,3040000,5630,3045630,True,5
341,validator_12,480000000000,19553000,4502600,24055600,True,15
342,validator_11,320000000000,19668000,561400,20229400,True,10
343,validator_8,320000000000,8765000,393800,9158800,False,10
344,validator_16,32000000000,4740000,15300,4755300,True,1
345,validator_7,480000000000,31233000,1198730,32431730,True,15
346,validator_2,160000000000,8983000,984000,9967000,True,5
347,validator_19,32000000000,31694000,16400,31710400,False,1
348,validator_8,320000000000,34523000,673130,35196130,False,10
349,validator_10,320000000000,14940000,68100,15008100,True,10
350,validator_19,32000000000,2160000,1100000,3260000,False,1
351,validator_1,64000000000,7720000,34830,7754830,True,2
352,validator_9,64000000000,1200000,0,1200000,True,2
353,validator_3,160000000000,9310000,0,9310000,True,5
354,validator_3,160000000000,15110000,377700,15487700,True,5
355,validator_18,32000000000,1200000,0,1200000,True,1
356,validator_11,320000000000,13300000,17000,13317000,True,10
357,validator_6,160000000000,15436000,344100,15780100,True,5
358,validator_5,32000000000,34174000,32780,34206780,False,1
359,validator_13,32000000000,13210000,4386100,17596100,False,1
360,validator_12,480000000000,120000,0,120000,True,15
361,validator_19,32000000000,12473000,66100,12539100,False,1
362,validator_12,480000000000,166929000,1164100,168093100,True,15
363,validator_15,160000000000,2340000,0,2340000,True,5
